FID,省份,贫困县名,X,Y,地址类型,脱贫时间
241,河南,民权县,115.1421381,34.64774135,区县,2019年5月9日正式退出
242,河南,内乡县,111.8431375,33.04692264,区县,2019年5月9日正式退出
243,河南,南召县,112.4228141,33.491335,区县,2020年2月28日正式退出
244,河南,宁陵县,115.3082182,34.46145349,区县,2019年5月9日正式退出
245,河南,平舆县,114.6137318,32.96387713,区县,2020年2月28日正式退出
246,河南,确山县,114.0201271,32.80403733,区县,2020年2月28日正式退出
247,河南,汝阳县,112.4668537,34.15523384,区县,2020年2月28日正式退出
248,河南,商城县,115.4013367,31.80024825,区县,2019年5月9日正式退出
249,河南,商水县,114.6066834,33.54432256,区县,2019年5月9日正式退出
250,河南,上蔡县,114.258344,33.26409676,区县,2020年2月28日正式退出
251,河南,社旗县,112.9421053,33.05820267,区县,2020年2月28日正式退出
252,河南,沈丘县,115.0932161,33.41091296,区县,2018年8月17日正式退出
253,河南,嵩县,112.079691,34.13564298,区县,2020年2月28日正式退出
254,河南,睢县,115.0661346,34.44636534,区县,2019年5月9日正式退出
255,河南,台前县,115.8664704,35.96947575,区县,2020年2月28日正式退出
256,河南,太康县,114.8325552,34.0652088,区县,2019年5月9日正式退出
257,河南,桐柏县,113.4217283,32.3810879,区县,2020年2月28日正式退出
258,河南,淅川县,111.4849945,33.13970347,区县,2020年2月28日正式退出
259,河南,新蔡县,114.9805714,32.75126822,区县,2018年8月17日正式退出
260,河南,新县,114.8738437,31.64609994,区县,2018年8月17日正式退出
261,河南,宜阳县,112.1667737,34.5361333,区县,2019年5月9日正式退出
262,河南,虞城县,115.8225215,34.40064242,区县,2019年5月9日正式退出
263,河南,柘城县,115.3002731,34.09242775,区县,2019年5月9日正式退出
264,河南,镇平县,126.0242727,47.96575563,乡镇,2019年5月9日正式退出
265,黑龙江,拜泉县,126.0920422,47.59320103,区县,2020年2月26日正式退出
266,黑龙江,抚远市,134.3002785,48.362489,区县,2018年8月17日正式退出
267,黑龙江,富裕县,124.4671169,47.77197934,区县,2018年8月17日正式退出
268,黑龙江,甘南县,123.4991059,47.91864265,区县,2018年8月17日正式退出
269,黑龙江,海伦市,126.9236728,47.44873835,区县,2020年2月26日正式退出
270,黑龙江,桦川县,130.7112229,47.0207487,区县,2019年5月5日正式退出
271,黑龙江,桦南县,130.5466149,46.23677475,区县,2019年5月5日正式退出
272,黑龙江,克东县,126.2423338,48.03968479,区县,2019年5月5日正式退出
273,黑龙江,兰西县,126.2816315,46.25043029,区县,2019年5月5日正式退出
274,黑龙江,林甸县,124.8564504,47.1695796,区县,2020年2月26日正式退出
275,黑龙江,龙江县,123.1983107,47.33547169,区县,2019年5月5日正式退出
276,黑龙江,明水县,125.8995182,47.17137807,区县,2019年5月5日正式退出
277,黑龙江,青冈县,126.0872026,46.70243191,区县,2020年2月26日正式退出
278,黑龙江,饶河县,134.006533,46.79580832,区县,2018年8月17日正式退出
279,黑龙江,绥滨县,131.8452759,47.28691121,区县,2019年5月5日正式退出
280,黑龙江,泰来县,123.4101272,46.39017044,区县,2019年5月5日正式退出
281,黑龙江,汤原县,129.8975384,46.72778052,区县,2019年5月5日正式退出
282,黑龙江,同江市,132.5034909,47.63953006,区县,2019年5月5日正式退出
283,黑龙江,望奎县,126.479578,46.83070762,区县,2018年8月17日正式退出
284,黑龙江,延寿县,128.3253868,45.44970891,区县,2020年2月26日正式退出
285,湖北,巴东县,110.3358934,31.04456444,区县,2020年4月21日正式退出
286,湖北,保康县,111.2552813,31.87980948,区县,2019年4月29日正式退出
287,湖北,长阳县,111.20141,30.47521266,区县,2020年4月21日正式退出
288,湖北,大悟县,114.1212141,31.56277023,区县,2020年4月21日正式退出
289,湖北,丹江口市,111.5071203,32.54250507,区县,2019年4月29日正式退出
290,湖北,恩施市,109.4751035,30.29774399,区县,2020年4月21日正式退出
291,湖北,房县,110.7357308,32.05766415,区县,2020年4月21日正式退出
292,湖北,鹤峰县,110.0290386,29.89230824,区县,2019年4月29日正式退出
293,湖北,红安县,114.6128799,31.29037207,区县,2018年8月17日正式退出
294,湖北,建始县,109.7171165,30.60463993,区县,2020年4月21日正式退出
295,湖北,来凤县,109.4020471,29.496015,区县,2019年4月29日正式退出
296,湖北,利川市,108.9316572,30.29387059,区县,2020年4月21日正式退出
297,湖北,罗田县,115.3934286,30.78527156,区县,2019年4月29日正式退出
298,湖北,麻城市,115.0046245,31.17341428,区县,2020年4月21日正式退出
299,湖北,蕲春县,115.4305082,30.22856515,区县,2020年4月21日正式退出
300,湖北,神农架林区,110.6709066,31.74678491,城市,2018年8月17日正式退出
301,湖北,团风县,114.8669212,30.64600033,区县,2019年4月29日正式退出
302,湖北,五峰县,111.0404679,30.16786332,区县,2020年4月21日正式退出
303,湖北,咸丰县,109.1352159,29.66789506,区县,2020年4月21日正式退出
304,湖北,孝昌县,113.9923462,31.26032448,区县,2020年4月21日正式退出
305,湖北,宣恩县,109.4861604,29.98948449,区县,2019年4月29日正式退出
306,湖北,阳新县,115.209712,29.83281452,区县,2019年4月29日正式退出
307,湖北,英山县,115.6757833,30.73745523,区县,2019年4月29日正式退出
308,湖北,郧西县,110.4206391,32.99487749,区县,2020年4月21日正式退出
309,湖北,郧阳区,110.8066774,32.83701162,区县,2020年4月21日正式退出
310,湖北,竹山县,110.2239487,32.22679299,区县,2020年4月21日正式退出
311,湖北,竹溪县,109.7099911,32.32044111,区县,2020年4月21日正式退出
312,湖北,秭归县,110.9726967,30.82826417,区县,2019年4月29日正式退出
313,湖南,安化县,111.2075843,28.37733653,区县,2019年4月20日正式退出
314,湖南,安仁县,113.263409,26.71282644,区县,2019年3月18日正式退出
315,湖南,保靖县,109.6553779,28.70316769,区县,2020年2月29日正式退出
316,湖南,茶陵县,113.5335627,26.78093364,区县,2018年8月17日正式退出
317,湖南,辰溪县,110.1792007,28.00979399,区县,2019年4月20日正式退出
318,湖南,城步县,110.3172772,26.39372662,区县,2020年2月29日正式退出
319,湖南,慈利县,111.1334166,29.43235426,区县,2019年4月20日正式退出
320,湖南,洞口县,110.571418,27.06387008,区县,2020年2月29日正式退出
321,湖南,凤凰县,109.5945166,27.95154872,区县,2020年2月29日正式退出
322,湖南,古丈县,109.9463916,28.62052593,区县,2020年2月29日正式退出
323,湖南,桂东县,113.9398818,26.08084107,区县,2018年8月17日正式退出
324,湖南,花垣县,109.4772347,28.57536818,区县,2020年2月29日正式退出
325,湖南,会同县,109.7303666,26.89115273,区县,2019年4月20日正式退出
326,湖南,江华县,111.5738454,25.18823008,区县,2019年4月20日正式退出
327,湖南,靖州县,109.6914415,26.57861446,区县,2019年4月20日正式退出
328,湖南,涟源市,111.6585716,27.69590888,区县,2020年2月29日正式退出
329,湖南,龙山县,109.4390796,29.46036918,区县,2020年2月29日正式退出
330,湖南,隆回县,111.0277526,27.1172806,区县,2020年2月29日正式退出
331,湖南,泸溪县,110.2152445,28.21956928,区县,2020年2月29日正式退出
332,湖南,麻阳县,109.7983477,27.86899478,区县,2020年2月29日正式退出
333,湖南,平江县,113.575503,28.70527829,区县,2019年3月18日正式退出
